Index,Date,Adj Close,Open,High,Low,Vol.,Change %
153,06/29/18,41910.90,"41,998.66","42,081.88","41,750.01",90.72K,-0.21%
154,07/02/18,41734.05,"41,948.67","42,136.52","41,609.90",43.09K,-0.42%
155,07/03/18,41564.42,"41,738.36","41,749.14","41,513.95",42.32K,-0.41%
156,07/04/18,40345.68,"41,548.23","41,548.23","40,274.72",74.72K,-2.93%
157,07/05/18,40238.81,"40,350.51","40,755.22","40,106.01",93.33K,-0.26%
158,07/06/18,40284.14,"40,223.75","40,435.97","40,028.64",75.86K,0.11%
159,07/09/18,39288.48,"40,340.52","40,372.90","39,067.15",75.60K,-2.47%
160,07/10/18,39452.81,"39,261.36","39,569.79","38,561.31",116.62K,0.42%
161,07/11/18,39586.76,"39,467.64","40,061.59","39,209.40",72.46K,0.34%
162,07/12/18,39875.12,"39,570.24","39,916.44","39,236.73",59.18K,0.73%
163,07/13/18,40271.00,"39,856.68","40,388.55","39,851.61",87.18K,0.99%
164,07/16/18,39665.77,"40,394.30","40,464.86","39,396.37",93.22K,-1.50%
165,07/17/18,39932.98,"39,658.99","40,012.61","39,330.88",86.40K,0.67%
166,07/18/18,40897.90,"40,017.55","40,980.30","40,005.24",131.27K,2.42%
167,07/19/18,41795.59,"41,298.73","41,896.08","41,298.73",178.97K,2.19%
168,07/20/18,41221.75,"41,810.96","41,810.96","41,157.45",116.45K,-1.37%
169,07/23/18,40463.98,"41,217.85","41,219.17","40,418.18",61.17K,-1.84%
170,07/24/18,41339.22,"40,494.45","41,461.83","40,487.07",107.58K,2.16%
171,07/26/18,42089.16,"42,106.57","42,136.06","41,696.26",129.86K,1.81%
172,07/27/18,42786.45,"42,089.56","42,845.49","42,014.05",187.53K,1.66%
173,07/30/18,43556.63,"43,045.59","43,605.04","43,045.59",176.41K,1.80%
174,07/31/18,42712.43,"43,638.77","43,638.86","42,603.43",158.01K,-1.94%
175,08/01/18,42810.04,"42,742.89","42,940.53","42,527.44",123.66K,0.23%
176,08/02/18,42330.32,"42,936.70","42,976.17","42,286.20",170.12K,-1.12%
177,08/03/18,42505.05,"42,233.74","42,553.37","42,097.07",114.14K,0.41%
178,08/06/18,42808.66,"42,564.41","42,854.32","42,453.88",76.54K,0.71%
179,08/07/18,42760.13,"42,838.30","42,993.18","42,705.04",129.18K,-0.11%
180,08/08/18,42731.86,"42,784.80","42,857.12","42,639.24",92.95K,-0.07%
181,08/09/18,42923.95,"42,760.66","42,960.94","42,696.35",107.40K,0.45%
182,08/10/18,42842.18,"42,957.10","43,115.52","42,798.88",137.71K,-0.19%
183,08/13/18,42637.58,"42,813.29","42,857.58","42,594.14",87.29K,-0.48%
184,08/15/18,42446.56,"42,764.95","42,852.57","42,368.48",74.88K,-0.45%
185,08/16/18,41960.80,"42,422.98","42,483.11","41,750.54",83.62K,-1.14%
186,08/17/18,42446.62,"42,006.53","42,552.84","41,991.98",111.78K,1.16%
187,08/20/18,42425.10,"42,610.88","42,701.54","42,309.05",71.27K,-0.05%
188,08/24/18,42588.29,"42,445.43","42,618.16","42,280.54",49.17K,0.38%
189,08/27/18,42745.78,"42,618.01","42,871.15","42,618.01",106.93K,0.37%
190,08/28/18,42544.47,"42,730.05","42,843.36","42,516.35",75.61K,-0.47%
191,08/29/18,42249.44,"42,564.34","42,628.34","42,157.63",58.72K,-0.69%
192,08/30/18,41863.52,"42,261.44","42,273.52","41,659.26",85.93K,-0.91%
193,08/31/18,41742.24,"41,888.23","42,006.03","41,626.70",88.50K,-0.29%
194,09/03/18,41581.96,"41,731.76","41,736.28","41,192.04",80.84K,-0.38%
195,09/04/18,41753.89,"41,594.98","41,790.77","41,555.96",65.13K,0.41%
196,09/05/18,41620.96,"41,766.77","41,805.34","41,495.41",70.46K,-0.32%
197,09/06/18,41266.39,"41,609.97","41,715.01","41,223.56",97.34K,-0.85%
198,09/07/18,40854.77,"41,329.63","41,416.74","40,793.70",70.05K,-1.00%
199,09/10/18,40684.05,"40,860.60","40,927.49","40,369.17",60.27K,-0.42%
200,09/11/18,40759.53,"40,723.40","40,943.19","40,519.03",77.72K,0.19%
201,09/12/18,40522.04,"40,768.98","40,824.38","40,424.09",69.64K,-0.58%
202,09/13/18,41049.91,"40,498.05","41,150.41","40,339.04",93.50K,1.30%
203,09/14/18,40920.31,"41,147.91","41,230.69","40,790.06",80.63K,-0.32%
204,09/17/18,40520.47,"40,933.53","40,961.36","40,255.23",69.40K,-0.98%
205,09/18/18,41238.07,"40,540.53","41,270.43","40,438.03",83.32K,1.77%
206,09/19/18,41320.13,"41,299.73","41,357.34","41,100.58",95.32K,0.20%
207,09/24/18,41004.55,"41,394.97","41,533.64","40,899.28",54.85K,-0.76%
208,09/25/18,41036.30,"41,018.81","41,193.18","40,957.32",54.64K,0.08%
209,09/26/18,40909.91,"41,073.37","41,139.37","40,717.78",77.04K,-0.31%
210,09/27/18,40851.80,"40,904.34","40,972.79","40,383.23",95.30K,-0.14%
211,09/28/18,40998.59,"40,862.69","41,047.08","40,622.11",98.75K,0.36%
212,10/01/18,40929.44,"40,985.03","41,029.06","40,709.29",71.48K,-0.17%
213,10/02/18,40800.25,"40,974.07","41,214.48","40,739.76",66.60K,-0.32%
214,10/03/18,40560.19,"40,818.60","40,838.86","40,471.30",52.64K,-0.59%
215,10/04/18,40087.12,"40,568.92","40,603.73","39,993.98",54.99K,-1.17%
216,10/05/18,39226.35,"40,081.75","40,136.32","39,030.03",87.37K,-2.15%
217,10/08/18,37898.29,"39,224.88","39,297.31","37,769.61",113.82K,-3.39%
218,10/09/18,38504.84,"37,965.23","39,027.34","37,965.23",125.04K,1.60%
219,10/10/18,38792.09,"38,551.30","38,826.80","37,894.09",112.57K,0.75%
220,10/11/18,38398.30,"38,743.35","38,743.35","38,256.70",84.71K,-1.02%
221,10/12/18,37517.93,"38,445.08","38,445.08","37,405.40",92.22K,-2.29%
222,10/15/18,36767.57,"37,453.24","37,575.89","36,274.25",105.52K,-2.00%
223,10/16/18,36663.38,"36,784.07","37,339.49","36,491.56",92.13K,-0.28%
224,10/17/18,37647.34,"36,686.20","37,704.08","36,684.95",101.31K,2.68%
225,10/18/18,37982.25,"37,806.08","38,189.16","37,438.38",116.46K,0.89%
226,10/19/18,38430.27,"38,019.32","38,467.41","37,759.95",115.56K,1.18%
227,10/22/18,38345.42,"38,505.97","38,783.87","38,266.93",138.85K,-0.22%
228,10/23/18,37714.90,"38,345.42","38,365.32","37,582.69",117.84K,-1.64%
229,10/24/18,39271.12,"38,580.29","39,296.33","38,580.29",167.68K,4.13%
230,10/25/18,39631.91,"39,697.70","40,069.40","39,409.49",200.46K,0.92%
231,10/26/18,40556.45,"39,736.39","40,604.91","39,375.42",237.22K,2.33%
232,10/29/18,41453.76,"40,556.45","41,513.63","40,556.45",279.10K,2.21%
233,10/30/18,41609.03,"41,648.88","41,792.81","41,366.58",220.16K,0.37%
234,10/31/18,41649.36,"41,611.95","41,825.55","41,237.48",178.97K,0.10%
235,11/01/18,41716.10,"41,616.27","41,827.05","41,454.54",151.71K,0.16%
236,11/02/18,42004.09,"41,701.98","42,243.83","41,607.16",209.73K,0.69%
237,11/05/18,41493.96,"41,892.22","41,892.22","41,033.87",145.50K,-1.21%
238,11/06/18,40958.53,"41,432.27","41,554.31","40,755.79",142.33K,-1.29%
239,11/07/18,41543.98,"41,326.74","41,597.93","41,231.19",169.72K,1.43%
240,11/08/18,41367.38,"41,623.58","41,650.70","41,284.64",133.41K,-0.43%
241,11/09/18,41388.88,"41,332.75","41,567.19","41,208.35",139.98K,0.05%
242,11/12/18,41096.33,"41,414.31","41,572.17","41,052.97",96.97K,-0.71%
243,11/13/18,41152.28,"41,112.26","41,202.42","40,760.59",91.31K,0.14%
244,11/14/18,40994.05,"40,874.22","41,322.77","40,763.44",146.56K,-0.38%
245,11/15/18,41428.63,"41,018.60","41,477.90","40,942.26",145.16K,1.06%
246,11/16/18,41660.75,"41,536.07","41,804.81","41,439.41",107.56K,0.56%
