Index,Date,Open,High,Low,Close,Adj Close,Volume
31,01/03/18,1073.930054,1096.099976,1073.430054,1091.52002,1091.52002,1565900
32,01/04/18,1097.089966,1104.079956,1094.26001,1095.76001,1095.76001,1302600
33,01/05/18,1103.449951,1113.579956,1101.800049,1110.290039,1110.290039,1512500
34,01/08/18,1111,1119.160034,1110,1114.209961,1114.209961,1232200
35,01/09/18,1118.439941,1118.439941,1108.199951,1112.790039,1112.790039,1340400
36,01/10/18,1107,1112.780029,1103.97998,1110.140015,1110.140015,1036700
37,01/11/18,1112.310059,1114.849976,1106.47998,1112.050049,1112.050049,1121200
38,01/12/18,1110.099976,1131.300049,1108.01001,1130.650024,1130.650024,1929300
39,01/16/18,1140.310059,1148.880005,1126.660034,1130.699951,1130.699951,1823100
40,01/17/18,1136.359985,1139.319946,1123.48999,1139.099976,1139.099976,1386400
41,01/18/18,1139.349976,1140.589966,1124.459961,1135.969971,1135.969971,1374900
42,01/19/18,1138.030029,1143.780029,1132.5,1143.5,1143.5,1527600
43,01/22/18,1143.819946,1166.880005,1141.819946,1164.160034,1164.160034,1477500
44,01/23/18,1170.619995,1178.51001,1167.25,1176.170044,1176.170044,1956900
45,01/24/18,1184.97998,1187.050049,1167.400024,1171.290039,1171.290039,1856400
46,01/25/18,1180.709961,1185,1171.839966,1182.140015,1182.140015,1499200
47,01/26/18,1187.530029,1187.560059,1168.030029,1187.560059,1187.560059,2108500
48,01/29/18,1188,1198,1184.060059,1186.47998,1186.47998,1574700
49,01/30/18,1177.719971,1187.930054,1174.51001,1177.369995,1177.369995,1866900
50,01/31/18,1183.810059,1186.319946,1172.099976,1182.219971,1182.219971,1801100
51,02/01/18,1175.98999,1187.449951,1169.359985,1181.589966,1181.589966,3675700
52,02/02/18,1127.420044,1131.300049,1111.170044,1119.199951,1119.199951,5892100
53,02/05/18,1100.609985,1114.98999,1056.73999,1062.390015,1062.390015,4177500
54,02/06/18,1033.97998,1087.380005,1030.01001,1084.430054,1084.430054,3831500
55,02/07/18,1084.969971,1086.530029,1054.619995,1055.410034,1055.410034,2597100
56,02/08/18,1059.869995,1063.930054,1004.700012,1007.710022,1007.710022,3339600
57,02/09/18,1025.880005,1051.719971,997,1046.27002,1046.27002,4918000
58,02/12/18,1056.670044,1065.569946,1045.48999,1054.560059,1054.560059,2812000
59,02/13/18,1050,1061.219971,1046.920044,1054.140015,1054.140015,1579300
60,02/14/18,1054.319946,1075.469971,1049.800049,1072.699951,1072.699951,2065200
61,02/15/18,1083.449951,1094.099976,1067.22998,1091.359985,1091.359985,1869800
62,02/16/18,1093.380005,1108.310059,1091.550049,1095.5,1095.5,1997400
63,02/20/18,1092.76001,1116.290039,1090,1103.589966,1103.589966,1687700
64,02/21/18,1109.099976,1136.199951,1107.51001,1113.75,1113.75,2074300
65,02/22/18,1119.170044,1125.459961,1105.150024,1109.900024,1109.900024,1400500
66,02/23/18,1118.660034,1129,1108.439941,1128.089966,1128.089966,1264600
67,02/26/18,1131.859985,1144.199951,1129.339966,1143.699951,1143.699951,1545600
68,02/27/18,1143.699951,1144.25,1116.790039,1117.51001,1117.51001,2148200
69,02/28/18,1122,1127.650024,1103,1103.920044,1103.920044,2464600
70,03/01/18,1109.540039,1111.27002,1067.290039,1071.410034,1071.410034,2766900
71,03/02/18,1057.97998,1086.890015,1050.109985,1084.140015,1084.140015,2508100
72,03/05/18,1078.130005,1101.180054,1072.27002,1094.76001,1094.76001,1432400
73,03/06/18,1102.099976,1105.630005,1094.5,1100.900024,1100.900024,1169100
74,03/07/18,1092.819946,1116.199951,1089.910034,1115.040039,1115.040039,1537400
75,03/08/18,1117.199951,1131.439941,1117.199951,1129.380005,1129.380005,1693100
76,03/09/18,1139.5,1161,1134.290039,1160.839966,1160.839966,2133100
77,03/12/18,1165.050049,1178.160034,1159.199951,1165.930054,1165.930054,2215300
78,03/13/18,1171.829956,1178,1134.569946,1139.910034,1139.910034,2157000
79,03/14/18,1145.800049,1159.76001,1142.349976,1148.890015,1148.890015,2093500
80,03/15/18,1149.569946,1162.5,1135.660034,1150.609985,1150.609985,1669100
81,03/16/18,1155.349976,1156.810059,1131.359985,1134.420044,1134.420044,2932800
82,03/19/18,1117.76001,1119.369995,1088.920044,1100.069946,1100.069946,3182800
83,03/20/18,1098.400024,1105.550049,1082.420044,1095.800049,1095.800049,2729900
84,03/21/18,1092.569946,1108.699951,1087.209961,1094,1094,2244900
85,03/22/18,1080.01001,1083.920044,1049.640015,1053.150024,1053.150024,3465600
86,03/23/18,1051.369995,1066.780029,1024.869995,1026.550049,1026.550049,2494000
87,03/26/18,1050.599976,1059.27002,1010.580017,1054.089966,1054.089966,3299200
88,03/27/18,1063.900024,1064.540039,997.619995,1006.940002,1006.940002,3040800
89,03/28/18,1001.909973,1024.98999,984,1005.179993,1005.179993,3884900
90,03/29/18,1011.210022,1048.050049,1004.039978,1037.140015,1037.140015,3466900
91,04/02/18,1027.619995,1039.530029,994.25,1012.630005,1012.630005,3253400
92,04/03/18,1016.150024,1025,997.25,1018.679993,1018.679993,2566100
93,04/04/18,998.22998,1032.73999,996.51001,1029.709961,1029.709961,2536200
94,04/05/18,1046.390015,1046.709961,1024,1032.640015,1032.640015,1791800
95,04/06/18,1023.099976,1036,1006.25,1009.950012,1009.950012,2006700
96,04/09/18,1020.039978,1044.589966,1019.200012,1020.090027,1020.090027,1661000
97,04/10/18,1030.26001,1041.209961,1015.409973,1036.5,1036.5,1831000
98,04/11/18,1032,1035.869995,1019.200012,1025.060059,1025.060059,1703000
99,04/12/18,1031.469971,1044.650024,1026.050049,1037.290039,1037.290039,1644800
100,04/13/18,1046.890015,1052.97998,1030.150024,1036.040039,1036.040039,1270500
101,04/16/18,1045.550049,1051.430054,1033.920044,1046.099976,1046.099976,1488800
102,04/17/18,1061.199951,1085,1057.089966,1079.359985,1079.359985,2729200
103,04/18/18,1079.01001,1082,1070.52002,1075.390015,1075.390015,1556300
104,04/19/18,1069.02002,1097.51001,1069.02002,1089.449951,1089.449951,1994200
105,04/20/18,1084.27002,1094.75,1072.099976,1077.319946,1077.319946,2121700
106,04/23/18,1082.97998,1088,1066.680054,1073.810059,1073.810059,3479500
107,04/24/18,1059.199951,1064.48999,1012.859985,1022.640015,1022.640015,6411000
108,04/25/18,1029.75,1036.069946,1017.01001,1022.98999,1022.98999,2893000
109,04/26/18,1033.219971,1052.02002,1020.450012,1043.310059,1043.310059,2546300
110,04/27/18,1045.540039,1051.699951,1027.589966,1031.449951,1031.449951,2037300
111,04/30/18,1034.420044,1038.369995,1018.299988,1018.580017,1018.580017,1724600
112,05/01/18,1016.299988,1041.72998,1010.609985,1040.75,1040.75,1766300
113,05/02/18,1034,1043.97998,1023.159973,1026.050049,1026.050049,1734900
114,05/03/18,1025.369995,1030.689941,1007.890015,1026.300049,1026.300049,1964100
115,05/04/18,1019.609985,1051.880005,1018.049988,1051,1051,1844600
116,05/07/18,1053.890015,1065,1050.27002,1059.459961,1059.459961,1720000
117,05/08/18,1064.619995,1065.22998,1051.640015,1058.589966,1058.589966,1301500
118,05/09/18,1064.099976,1094,1062.109985,1088.949951,1088.949951,2358000
119,05/10/18,1095,1109.410034,1093.880005,1105.469971,1105.469971,1820700
120,05/11/18,1100.410034,1109.01001,1097.219971,1103.380005,1103.380005,1525200
121,05/14/18,1105.569946,1118.150024,1104.800049,1106.599976,1106.599976,1966900
122,05/15/18,1096.900024,1099.119995,1078.780029,1084.869995,1084.869995,1786900
123,05/16/18,1085.089966,1094.380005,1081.630005,1084.089966,1084.089966,1281400
124,05/17/18,1081.459961,1091,1076.420044,1081.26001,1081.26001,1286900
125,05/18/18,1066,1073.72998,1064.680054,1069.640015,1069.640015,1774100
126,05/21/18,1079,1093.300049,1078,1084.01001,1084.01001,1259000
127,05/22/18,1089.800049,1091.800049,1072.26001,1075.310059,1075.310059,1111300
128,05/23/18,1070,1088,1066.959961,1085.959961,1085.959961,1154800
129,05/24/18,1086.900024,1087.119995,1072.300049,1085.449951,1085.449951,1023200
130,05/25/18,1086.550049,1089.569946,1082.599976,1084.079956,1084.079956,1111200
131,05/29/18,1076,1081.339966,1063.079956,1068.069946,1068.069946,1793600
132,05/30/18,1073.47998,1078.98999,1066.550049,1077.469971,1077.469971,1434300
133,05/31/18,1082,1110,1078,1100,1100,3968400
134,06/01/18,1112.869995,1138.160034,1112.01001,1135,1135,3150700
135,06/04/18,1138.5,1157.859985,1137,1153.040039,1153.040039,2233600
136,06/05/18,1154.660034,1161.099976,1147.459961,1151.02002,1151.02002,1648200
137,06/06/18,1152.77002,1154.709961,1136.319946,1146.949951,1146.949951,1746700
138,06/07/18,1144.579956,1145.869995,1126.119995,1134.420044,1134.420044,1805400
139,06/08/18,1131.209961,1138.780029,1123.22998,1132.709961,1132.709961,1364200
140,06/11/18,1132.939941,1147.73999,1131.400024,1140.900024,1140.900024,1239800
141,06/12/18,1141.02002,1148.75,1141.02002,1148.189941,1148.189941,1304600
142,06/13/18,1152.280029,1155.640015,1143.380005,1144.22998,1144.22998,1715100
143,06/14/18,1152.209961,1165.98999,1150.599976,1160.109985,1160.109985,1771100
144,06/15/18,1159.920044,1163.910034,1153.689941,1159.27002,1159.27002,2221900
145,06/18/18,1152.689941,1184.130005,1151,1183.579956,1183.579956,1651900
146,06/19/18,1170.109985,1182.810059,1161.609985,1178.689941,1178.689941,2364100
147,06/20/18,1183.300049,1201.48999,1182.030029,1184.069946,1184.069946,2584300
148,06/21/18,1185.51001,1190.329956,1163.47998,1169.439941,1169.439941,2248300
149,06/22/18,1171.48999,1175,1159.650024,1169.290039,1169.290039,1711000
150,06/25/18,1155,1155.98999,1119.900024,1139.280029,1139.280029,2884100
151,06/26/18,1144.140015,1146.869995,1129,1132.619995,1132.619995,1734400
