Index,Date,Adj Close,Open,High,Low,Vol.,Change %
189,08/27/18,19.81,20.4,20.4,19.81,224.50K,-2.41%
190,08/28/18,19.94,20,20.05,19.85,39.50K,0.66%
191,08/29/18,19.36,20,20,19.36,145.50K,-2.91%
192,08/30/18,19.29,19.5,19.6,18.62,337.00K,-0.36%
193,08/31/18,19.4,19.55,19.69,19.33,133.50K,0.57%
194,09/03/18,19.1,18.75,19.25,18.75,44.00K,-1.55%
195,09/04/18,19.16,19.6,19.6,18.7,136.00K,0.31%
196,09/05/18,18.82,19.45,19,18.75,66.00K,-1.77%
197,09/06/18,18.2,19,19,18.2,535.00K,-3.29%
198,09/07/18,17.94,18.5,19.26,17.55,1.88M,-1.43%
199,09/10/18,17.75,18.29,18.29,17.43,349.00K,-1.06%
200,09/11/18,18.3,17.81,18.74,17.45,1.68M,3.10%
201,09/12/18,17.94,18.75,19.11,17.7,521.00K,-1.97%
202,09/13/18,18,18.2,18.2,17.93,359.50K,0.33%
203,09/14/18,17.54,18.02,18.01,17.28,479.00K,-2.56%
204,09/17/18,17.01,18.35,17.8,16.95,379.00K,-3.02%
205,09/18/18,17.44,17.05,17.48,16.91,101.50K,2.53%
206,09/19/18,17.45,17.44,17.85,17.3,1.31M,0.06%
207,09/24/18,16.9,17.98,17.98,16.9,109.00K,-3.15%
208,09/25/18,17.05,17.02,17.48,16.9,55.50K,0.89%
209,09/26/18,16.55,17.45,17.39,16.51,180.00K,-2.93%
210,09/27/18,16.35,17.35,17.38,16.25,360.50K,-1.21%
211,09/28/18,15.88,16.99,16.89,15.8,1.40M,-2.87%
212,10/01/18,16.5,16.94,16.94,16,191.00K,3.90%
213,10/02/18,17,16.3,17.25,16.3,340.00K,3.03%
214,10/03/18,17.08,17,17.1,17,261.50K,0.47%
215,10/04/18,17.1,16.55,17.2,16.55,2.11M,0.12%
216,10/05/18,16.45,16.5,16.89,16.1,204.00K,-3.80%
217,10/08/18,15.8,16.25,16.25,15.5,300.50K,-3.95%
218,10/09/18,16,16.35,16.35,15.3,226.50K,1.27%
219,10/10/18,15.5,15.25,15.8,15.1,50.00K,-3.13%
220,10/11/18,14.86,15.51,15.51,14.86,62.00K,-4.13%
221,10/12/18,13.97,15.39,15.39,13.97,584.00K,-5.99%
222,10/15/18,14.18,13.75,14.18,13,296.50K,1.50%
223,10/16/18,14.68,14,14.7,14,418.50K,3.53%
224,10/17/18,15.59,14.9,15.59,14.9,203.00K,6.20%
225,10/18/18,15.3,15.5,15.95,15.12,114.50K,-1.86%
226,10/19/18,16.43,15.48,16.43,15.1,491.50K,7.39%
227,10/22/18,16.2,16.99,17,16.11,502.00K,-1.40%
228,10/23/18,15.26,15.85,15.85,15.26,162.00K,-5.80%
229,10/24/18,16.27,16.14,16.27,15.55,728.50K,6.62%
230,10/25/18,16.27,16.9,16.95,15.8,281.00K,0.00%
231,10/26/18,17.23,16,17.23,15.87,1.47M,5.90%
232,10/29/18,18.15,17.5,18.23,17.5,1.16M,5.34%
233,10/30/18,17.5,18.25,18.25,17.4,130.00K,-3.58%
234,10/31/18,17.6,17.5,18,17.03,368.00K,0.57%
235,11/01/18,17.79,17.89,18,17.5,130.00K,1.08%
236,11/02/18,17.85,17.89,18,17.5,178.00K,0.34%
237,11/05/18,16.9,17.79,17.79,16.8,307.50K,-5.32%
238,11/06/18,16.4,16.7,17.07,16.36,701.50K,-2.96%
239,11/07/18,17.05,16.99,17.58,16.85,1.01M,3.96%
240,11/08/18,17.5,17.15,17.75,17,848.50K,2.64%
241,11/09/18,17.5,17.55,17.6,17.26,170.00K,0.00%
242,11/12/18,17.05,17.25,17.55,17.05,142.00K,-2.57%
243,11/13/18,17.45,17.01,17.55,16.91,709.50K,2.35%
244,11/14/18,17.5,17.2,17.55,17.11,404.00K,0.29%
245,11/15/18,17.55,17.17,17.69,17.17,1.69M,0.29%
246,11/16/18,18.1,17.57,18.25,17.45,2.93M,3.13%
